image_path,image_stem,lighting_id,person_id,hand,hand_side,split,reference_object,correction_method,denomination,banknote_side,cc_de_mean_before,cc_de_median_before,cc_de_trimean_before,cc_de_p95_before,cc_de_max_before,cc_de_best25_before,cc_de_worst25_before,cc_de_mean_after,cc_de_median_after,cc_de_trimean_after,cc_de_p95_after,cc_de_max_after,cc_de_best25_after,cc_de_worst25_after,bn_de_mean_before,bn_de_median_before,bn_de_trimean_before,bn_de_p95_before,bn_de_max_before,bn_de_best25_before,bn_de_worst25_before,bn_de_mean_after,bn_de_median_after,bn_de_trimean_after,bn_de_p95_after,bn_de_max_after,bn_de_best25_after,bn_de_worst25_after,bn_n_samples,bn_confidence,bn_reproj_rmse,L_median_before,a_median_before,b_median_before,ITA_before,chardon_before,L_median_after,a_median_after,b_median_after,ITA_after,chardon_after,skin_measured,success,failure_reason
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,none,baseline,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,,,,,,,,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,,,,,,,,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,,,,,,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,colorchecker,linear,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,6.296604123171805,6.664030444743021,6.403717998711362,11.865589305926814,12.515990994319633,1.9833478988320545,10.864607145053625,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,12.104718807572494,11.500038442987854,11.66302619247997,19.147128785457305,31.249311820695013,8.406902780226371,16.928415337262564,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,61.602783203125,16.90625,21.390625,28.476455996570706,Intermediate,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,banknote,linear,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,17.613990089501726,13.684562444224014,14.206166297737399,43.212648993567164,54.506635917115,7.507549445459142,35.82767505316028,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,3.4997489621733147,2.763670288287403,2.9370361822998747,8.497043592349117,19.4807753211199,1.2527585252098363,6.971674161865665,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,56.92138671875,27.515625,2.671875,68.89182868270044,Very Light,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,colorchecker,affine,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,4.190774994230834,3.1969811029260127,3.4223092096510843,10.3727361633789,13.090205037309525,1.4376532906521267,8.726297040946173,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,10.560327990611466,10.331380823464855,10.430396851176907,14.264790955975299,25.478739519727682,7.5654629379121845,13.760562808553722,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,63.055419921875,17.125,20.953125,31.926103337092528,Intermediate,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,banknote,affine,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,22.636112614206496,17.39185595086364,20.52651023772645,44.33356860669397,45.521602143402134,10.428025975687536,40.87793223284477,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,2.7278506815562364,2.0195426620068044,2.1647712298167368,7.627951396876824,15.858977625011917,0.8881458056745932,5.910129642551669,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,80.963134765625,1.0,15.296875,63.70901208209935,Very Light,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,colorchecker,poly2,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,2.605788504336901,2.183232192828508,2.3110081046986926,5.6447724238945645,8.471205436228136,0.9870989669951644,5.024387388226034,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,10.181093816441331,10.024544591715374,9.994161987802766,13.84970695586232,24.768813260033106,7.570626800742243,13.167763279580353,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,63.739013671875,15.65625,20.21875,34.196831146383545,Intermediate,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,banknote,poly2,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,23.853582383407986,20.023222258791563,22.075762096490024,41.05534811875433,56.91179168992157,11.556514501753588,40.49455942708247,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,2.3712441357838148,1.7174615226500078,1.8532699679661244,6.274425212370999,17.027140078427657,0.7413888108323549,5.197923157930875,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,86.859130859375,-2.34375,29.15625,51.65535530821224,Light,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,colorchecker,poly3_cheung,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,2.0961329340188093,1.847445623769919,1.9097759355118606,5.211926555227568,6.572082829745199,0.6156448346085007,4.024381775641858,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,10.387544836168102,10.062330960556292,10.208622577735365,13.753975794365564,23.810704910486276,7.861268612947627,13.33585006632334,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,64.6484375,15.25,18.453125,38.443206908709406,Intermediate,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,banknote,poly3_cheung,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,22.88314248280355,20.88161096971291,22.166922592663028,35.82103871677592,54.820927967309856,11.697468747817702,36.6743577063078,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,2.3196248167389992,1.7215109980360381,1.814893813046457,6.240775316679275,17.242751360088356,0.7043688591720428,5.088826591637979,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,88.134765625,-2.234375,29.609375,52.17278907882556,Light,True,True,
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,none,gray_world,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,11.76165456494087,9.994331379969472,10.841098864017056,21.95696161936093,22.927023891445486,5.876034434366052,19.78802792570097,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,7.015528514445041,6.451474248702793,6.738521700334419,11.91940899903633,20.12743447623846,3.628704172510952,11.169259559219187,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,76.800537109375,15.265625,15.25,60.35932536767944,Very Light,True,True,
