correction_method,affine,affine,baseline,gray_world,linear,linear,poly2,poly2,poly3_cheung,poly3_cheung,shades_of_gray
reference_object,banknote,colorchecker,none,none,banknote,colorchecker,banknote,colorchecker,banknote,colorchecker,none
person_id,,,,,,,,,,,
1,47.61,14.85,36.06,7.03,389.23,18.18,39.75,16.56,50.67,13.18,9.49
2,283.27,75.06,341.65,17.89,806.45,166.10,314.40,88.45,1164.91,54.84,20.74
3,173.67,99.20,56.49,20.86,220.39,772.50,490.61,95.94,663.08,69.91,58.28
4,79.97,82.23,91.11,11.72,6100.57,251.51,136.57,81.32,177.05,50.97,23.12
5,66.37,23.53,84.32,5.03,778.47,38.92,59.01,28.62,106.77,18.51,8.70
Mean,130.18,58.98,121.93,12.51,1659.02,249.44,208.07,62.18,432.50,41.48,24.06
